date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:24	1480/1480	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Nov%202025%2014:40:28%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/vector-18.svg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/vector-18.svg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:24	13722/13722	---M--	200	added ('OK')	text/html	date:Thu,%2013%20Nov%202025%2014:40:29%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/calculator	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/calculator.html	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:26	270658/270658	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Nov%202025%2014:40:30%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/mocks/mock_1.png	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/mocks/mock_1.png	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:27	255330/255330	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Nov%202025%2014:40:31%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/mocks/mock_2.png	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/mocks/mock_2.png	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:28	284595/284595	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Nov%202025%2014:40:31%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/mocks/mock_3.png	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/mocks/mock_3.png	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:28	604/604	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Nov%202025%2014:40:32%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-briefcase-outline.svg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-briefcase-outline.svg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:29	255/255	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Nov%202025%2014:40:33%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-chart-line-1.svg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-chart-line-1.svg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:30	477/477	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Nov%202025%2014:40:34%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-airplane-2.svg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-airplane-2.svg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:30	726/726	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Nov%202025%2014:40:35%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-coffee-outline-1.svg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-coffee-outline-1.svg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:31	38125/38125	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Nov%202025%2014:40:36%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/container.svg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/container.svg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:35	1801192/1801192	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Nov%202025%2014:40:37%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/tax-calculator-dashboard.jpg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/tax-calculator-dashboard.jpg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:36	1214138/1214138	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Nov%202025%2014:40:39%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/sars-forms-interface.jpg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/sars-forms-interface.jpg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:43	46833/46833	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Nov%202025%2014:40:44%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/grid-3.png	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/grid-3.png	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:44	1576595/1576595	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Nov%202025%2014:40:38%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/sarb-economic-dashboard.jpg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/sarb-economic-dashboard.jpg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:44	1127105/1127105	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Nov%202025%2014:40:40%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/tax-optimization-ui.jpg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/tax-optimization-ui.jpg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:44	230/230	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Nov%202025%2014:40:49%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-format-quote-close-2.svg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-format-quote-close-2.svg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:44	1546739/1546739	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Nov%202025%2014:40:43%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/historical-tax-trends.jpg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/historical-tax-trends.jpg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:45	13497/13497	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Nov%202025%2014:40:50%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/jason-moyer-a73ah5jktva-unsplash-1-2.png	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/jason-moyer-a73ah5jktva-unsplash-1-2.png	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:46	12709/12709	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Nov%202025%2014:40:51%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/logo.svg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/logo.svg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:47	303/303	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Nov%202025%2014:40:52%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-star-4.svg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-star-4.svg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:49	11218/11218	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Nov%202025%2014:40:53%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/logo-1.svg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/logo-1.svg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:51	303/303	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Nov%202025%2014:40:55%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-star-9.svg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-star-9.svg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:51	244/244	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Nov%202025%2014:40:56%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-plus-7.svg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-plus-7.svg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:52	1725/1725	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Nov%202025%2014:40:57%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-face-agent.svg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-face-agent.svg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:53	925/925	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Nov%202025%2014:40:57%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-twitter-1.svg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-twitter-1.svg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:54	1635/1635	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Nov%202025%2014:40:58%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-instagram.svg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-instagram.svg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:56	1316/1316	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Nov%202025%2014:41:00%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-pinterest.svg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-pinterest.svg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
16:40:57	578/578	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Nov%202025%2014:41:02%20GMT	https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-facebook.svg	C:/My%20Web%20Sites/https___cmhxhtbnp00vls6010vuujuop.preview.wbj.dev_/cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/img/mdi-facebook.svg	(from https://cmhxhtbnp00vls6010vuujuop.preview.wbj.dev/)
